pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,0,323.21000000,0.06000000,-0.05000000,0,1.178000,0.000000,0.000000,0,12.200,,,0,1.090,,,0,4914.89849,39.09289,-39.72855,0,15.46400,0.12300,-0.12500,0,Msini,0.238000,0.007000,-0.007000,0,,,,,,,,,0,G8 III,4874.00,,,0,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,-0.260,0.100,-0.100,0,[Fe/H],2.45,0.08,-0.08,0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,1.9238000,-1.9238000,4.7230700,0.0230000,-0.0230000,2.2820000,0.3460000,-0.3460000,4.4403800,0.0038479,-0.0038479
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,12.300,,,0,1.090,,,0,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0,Msini,0.080000,0.030000,-0.030000,0,,,,,,,,,0,K4 III,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.020,,,0,[Fe/H],1.93,0.07,-0.07,0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,1.9765000,-1.9765000,5.0130000,0.0050000,-0.0050000,1.9390000,0.2700000,-0.2700000,4.5621600,0.0039035,-0.0039035
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,186.76000000,0.11000000,-0.12000000,0,0.775000,0.000000,0.000000,0,13.100,,,0,1.160,,,0,1131.15130,36.23244,-38.77507,0,3.55900,0.11400,-0.12200,0,Msini,0.000000,,,0,,,,,,,,,0,K0 III,4888.00,,,0,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,-0.210,0.100,-0.100,0,[Fe/H],2.55,0.06,-0.07,0,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,0.7140000,-0.7140000,5.2313300,0.0230000,-0.0230000,2.3310000,0.2400000,-0.2400000,4.9178100,0.0028262,-0.0028262
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,12.600,,,0,1.120,,,0,2559.47216,518.69596,-280.64248,0,8.05300,1.63200,-0.88300,0,Mass,0.373000,0.008000,-0.006000,0,,,,,,,,,0,K0 V,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0,0.405,0.047,-0.047,0,[Fe/H],4.45,0.02,-0.02,0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,0.0073000,-0.0073000,6.6193500,0.0230000,-0.0230000,4.7140000,0.0160000,-0.0160000,6.3830000,0.0003512,-0.0003512
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,13.500,,,0,1.200,,,0,565.73740,25.42640,-25.42640,0,1.78000,0.08000,-0.08000,0,Msini,0.680000,0.020000,-0.020000,0,,,,,,,,,0,G3 V,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.060,,,0,[Fe/H],4.36,0.01,-0.01,0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,0.0110000,-0.0111000,6.2150000,0.0160000,-0.0160000,4.6510000,0.0160000,-0.0160000,6.0642800,0.0006029,-0.0006029
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,0,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,12.900,,,0,1.150,,,0,1373.01872,47.67426,-38.13941,0,4.32000,0.15000,-0.12000,0,Msini,0.060000,0.030000,-0.020000,0,,,,,,,,,0,K3 III,4157.00,11.00,-10.00,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,-0.010,0.100,-0.100,0,[Fe/H],1.70,0.04,-0.06,0,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.9530000,2.5900000,-2.5900000,5.2260600,0.0230000,-0.0230000,2.0940000,0.2440000,-0.2440000,4.7542900,0.0050550,-0.0050550
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,982.85000000,1.06000000,-0.92000000,0,2.476000,0.002000,-0.002000,0,12.500,,,0,1.120,,,0,2926.24614,50.85255,-24.47279,0,9.20700,0.16000,-0.07700,0,Msini,0.024000,0.007000,-0.018000,0,,,,,,,,,0,G6 III,4980.00,,,0,8.80,0.61,-0.40,0,2.10,0.13,-0.09,0,-0.060,0.100,-0.100,0,[Fe/H],2.87,0.03,-0.05,0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,0.6217000,-0.6217000,5.5104800,0.0230000,-0.0230000,3.3660000,0.2040000,-0.2040000,5.2747600,0.0026539,-0.0026539
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,0,,,,,330.000000,,,0,18.647,,,0,1.664,,,0,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,Mass,,,,,,,,,1700,100,-100,0,0,K7 V,4060.00,300.00,-200.00,0,1.31,0.18,-0.10,0,0.85,0.20,-0.10,0,,,,,,4.00,0.14,-0.10,0,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000,1.3320000,-1.3070000,12.6180000,0.0690000,-0.0690000,8.9160000,0.0210000,-0.0210000,12.0572000,0.0022750,-0.0022750
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,0,30.33000000,0.00000000,-0.01000000,0,0.194000,0.000000,0.000000,0,13.900,,,0,1.240,,,0,280.64248,11.44182,-13.66662,0,0.88300,0.03600,-0.04300,0,Msini,0.032000,0.039000,-0.023000,0,,,,,,,,,0,G3 IV,4816.00,,,0,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,-0.780,0.100,-0.100,0,[Fe/H],2.28,0.09,-0.07,0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,0.6368500,-0.6368500,5.5900000,0.0010000,-0.0010000,3.1590000,0.2800000,-0.2800000,5.3339000,0.0019998,-0.0019998
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,13.400,,,0,1.190,,,0,632.46000,82.63000,-120.77000,0,1.99000,0.26000,-0.38000,0,Msini,0.090000,0.140000,-0.060000,0,,,,,,,,,0,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],3.50,0.10,-0.10,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,0.6854000,-0.6728000,6.4535000,0.0230000,-0.0230000,4.2850000,0.0160000,-0.0160000,6.2037400,0.0004976,-0.0004976
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,13.900,,,0,1.240,,,0,273.32000,111.24000,-69.92000,0,0.86000,0.35000,-0.22000,0,Msini,0.290000,0.160000,-0.090000,0,,,,,,,,,0,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],3.50,0.10,-0.10,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,0.6854000,-0.6728000,6.4535000,0.0230000,-0.0230000,4.2850000,0.0160000,-0.0160000,6.2037400,0.0004976,-0.0004976
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,0,,,,,118.000000,1.300000,-1.300000,0,13.000,,,0,1.160,,,0,1271.31363,317.82841,-317.82841,0,4.00000,1.00000,-1.00000,0,Mass,,,,,,,,,1450,50,-50,0,0,M V,3100.00,100.00,-100.00,0,0.84,0.11,-0.11,0,0.17,0.01,-0.02,0,0.010,0.050,-0.050,0,[Fe/H],4.50,0.50,-0.50,0,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.4840000,1.1960000,-1.1740000,16.1860000,1.1330000,-1.1330000,10.3860000,0.0180000,-0.0180000,14.3374000,0.0007720,-0.0007720
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,0,,,,,84.000000,,,0,12.300,,,0,1.100,,,0,4131.79000,317.83000,-317.83000,0,13.00000,1.00000,-1.00000,0,Mass,,,,,,,,,,,,,0,M5.5/M6,,,,,,,,,0.19,0.02,-0.02,0,,,,,,,,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.2000000,3.1000000,-3.1000000,15.7880000,0.2750000,-0.2750000,9.2370010,0.0220000,-0.0220000,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,0,,,,,52.000000,6.000000,-6.000000,0,11.209,,,0,1.000,,,0,7786.50000,794.50000,-794.50000,0,24.50000,2.50000,-2.50000,0,Mass,,,,,,,,,1600,100,-100,0,0,M3.5 V,3530.00,50.00,-50.00,0,0.37,0.01,-0.01,0,0.40,0.05,-0.05,0,,,,,,4.86,0.00,0.00,0,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000,0.0864000,-0.0860000,14.2440000,0.0740000,-0.0740000,9.1980000,0.0260000,-0.0260000,12.9025000,0.0011510,-0.0011510
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,0,,,,,156.000000,10.000000,-10.000000,0,16.141,0.336,-0.336,0,1.440,0.030,-0.030,0,4417.83700,349.61300,-349.61300,0,13.90000,1.10000,-1.10000,0,Mass,,,,,,,,,,,,,0,M6,3064.00,76.00,-76.00,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,,,,,,4.59,0.06,-0.06,0,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412,0.1940496,-0.1940496,,,,10.4040000,0.0250000,-0.0250000,15.0123000,0.0006240,-0.0006240
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018,Mauna Kea Observatory,0,,,,,1950.000000,200.000000,-200.000000,0,12.400,,,0,1.110,,,0,3686.80952,413.17693,-317.82841,0,11.60000,1.30000,-1.00000,0,Mass,,,,,,,,,,,,,0,M6 V,2859.00,157.00,-157.00,0,0.32,0.01,-0.01,0,0.05,0.01,-0.01,0,,,,,,4.91,0.00,0.00,0,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,66.0613000,0.4543000,-0.4482000,18.3000000,0.2000000,-0.2000000,11.0550000,0.0210000,-0.0210000,15.6894000,0.0012240,-0.0012240
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,,,,,572.000000,7.000000,-7.000000,0,12.200,,,0,1.080,,,0,5720.91133,317.82841,-317.82841,0,18.00000,1.00000,-1.00000,0,Mass,,,,,,,,,2369,21,-5,0,0,,2943.00,157.00,-157.00,0,0.29,0.01,-0.01,0,0.26,0.02,-0.02,0,,,,,,4.94,0.00,0.00,0,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,117.4350000,2.3200000,-2.2330000,,,,12.5330000,0.0280000,-0.0280000,16.9967000,0.0010820,-0.0010820
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,0,,,,,15.000000,,,0,12.600,,,0,1.130,,,0,2383.60000,794.50000,-794.50000,0,7.50000,2.50000,-2.50000,0,Mass,,,,,,,,,,,,,0,M8.5,2936.00,182.00,-182.00,0,0.23,0.01,-0.01,0,0.02,,,0,,,,,,5.01,0.00,0.00,0,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.4239870,5.4783417,-5.4783417,,,,13.1610000,0.0250000,-0.0250000,18.9668000,0.0068330,-0.0068330
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,,,,,266.000000,8.000000,-8.000000,0,11.900,,,0,1.060,,,0,8899.19540,3178.28407,-2224.79885,0,28.00000,10.00000,-7.00000,0,Mass,,,,,,,,,2677,78,-76,0,0,,,,,,,,,,,,,,,,,,,,,,,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,,,,,,,11.6320000,0.0260000,-0.0260000,18.3299000,0.0022940,-0.0022940
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,,,,,587.000000,2.000000,-2.000000,0,12.100,,,0,1.080,,,0,6356.56814,317.82841,-317.82841,0,20.00000,1.00000,-1.00000,0,Mass,,,,,,,,,2506,2,-2,0,0,,3021.00,157.00,-157.00,0,0.60,0.02,-0.02,0,0.59,0.02,-0.02,0,,,,,,4.65,0.01,-0.01,0,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,100.8620000,0.6030000,-0.5960000,16.9570000,0.3090000,-0.3090000,10.0790000,0.0210000,-0.0210000,14.8180000,0.0017250,-0.0017250
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,0,,,,,55.000000,,,0,12.900,,,0,1.150,,,0,1589.15000,635.66000,-635.66000,0,5.00000,2.00000,-2.00000,0,Mass,,,,,,,,,1250,200,-200,0,0,M8,2825.00,157.00,-157.00,0,0.22,0.01,-0.01,0,0.02,,,0,,,,,,5.03,0.02,-0.02,0,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000,0.6569000,-0.6440000,20.1500000,0.1900000,,11.9450000,0.0260000,-0.0260000,17.4076000,0.0021540,-0.0021540
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,0,406.00000000,4.00000000,-4.00000000,0,0.920000,0.020000,-0.020000,0,13.400,,,0,1.200,,,0,603.87700,31.78300,-31.78300,0,1.90000,0.10000,-0.10000,0,Mass,0.330000,0.050000,-0.050000,0,,,,,,,,,0,,29564.00,,,0,0.20,0.00,0.00,0,0.48,,,0,-0.092,,,0,[Fe/H],5.51,0.01,-0.01,0,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000,6.3885000,-6.3885000,12.6510000,0.2150000,-0.2150000,12.9550000,0.0290000,-0.0290000,12.1376000,0.0036870,-0.0036870
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,,,,,7493.000000,11.000000,-11.000000,0,12.400,,,0,1.100,,,0,3813.94088,317.82841,-317.82841,0,12.00000,1.00000,-1.00000,0,Mass,,,,,,,,,1616,32,-3,0,0,,3592.00,157.00,-157.00,0,0.67,0.02,-0.02,0,0.64,0.02,-0.02,0,,,,,,4.59,0.01,-0.01,0,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,34.1154000,0.0811000,-0.0807000,11.8040000,0.0700000,-0.0700000,7.3410000,0.0400000,-0.0400000,10.8133000,0.0020880,-0.0020880
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,0,,,,,230.000000,20.000000,-20.000000,0,12.300,,,0,1.100,,,0,3972.87500,476.74500,-476.74500,0,12.50000,1.50000,-1.50000,0,Mass,,,,,,,,,,,,,0,K7 V,4045.00,35.00,-35.00,0,0.64,0.06,-0.06,0,0.60,0.05,-0.05,0,,,,,,4.62,0.09,-0.13,0,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.5737000,0.1592000,-0.1585000,12.3680000,0.0570000,-0.0570000,9.1480000,0.0180000,-0.0180000,11.9484000,0.0007370,-0.0007370
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,12.300,,,0,1.100,,,0,4392.41060,572.09400,-572.09400,0,13.82000,1.80000,-1.80000,0,Msini,0.290000,0.090000,-0.090000,0,,,,,,,,,0,F6 V,6331.00,61.00,-61.00,0,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0,0.190,,,0,[Fe/H],4.43,0.05,-0.05,0,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000,0.1039000,-0.1034000,7.0920900,0.0230000,-0.0230000,5.8220000,0.0210000,-0.0210000,6.9608500,0.0005120,-0.0005120
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0,270.27000000,0.24000000,-0.09000000,0,0.877000,0.001000,0.000000,0,12.600,,,0,1.120,,,0,2511.48007,63.24785,-120.13914,0,7.90200,0.19900,-0.37800,0,Msini,0.453000,0.021000,-0.036000,0,,,,,,,,,0,K1 III,4415.00,70.00,-70.00,0,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0,-0.250,0.040,-0.040,0,[Fe/H],1.80,0.15,-0.15,0,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603000,1.1860500,-1.1860500,4.5801000,0.0230000,-0.0230000,1.7340000,0.2180000,-0.2180000,4.2377300,0.0047288,-0.0047288
42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,0,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,13.000,,,0,1.160,,,0,1233.13000,270.14000,-270.14000,0,3.88000,0.85000,-0.85000,0,Msini,0.380000,0.060000,-0.060000,0,,,,,,,,,0,K1.5 III,4200.00,70.00,-70.00,0,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0,-0.460,0.050,-0.050,0,[Fe/H],1.71,0.05,-0.05,0,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545000,1.3227000,-1.3227000,4.8262000,0.0230000,-0.0230000,2.0850000,0.2160000,-0.2160000,4.4321600,0.0062380,-0.0062380
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,13.200,,,0,1.180,,,0,804.08000,22.25000,-19.07000,0,2.53000,0.07000,-0.06000,0,Msini,0.032000,0.014000,-0.014000,0,,,,,,,,,0,G0 V,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0,[M/H],4.30,0.07,-0.07,0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,0.0289000,-0.0289000,5.0335200,0.0230000,-0.0230000,3.7500000,0.3400000,-0.3400000,4.8783700,0.0038294,-0.0038294
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,14.200,,,0,1.270,,,0,171.62100,20.97600,-23.20100,0,0.54000,0.06600,-0.07300,0,Msini,0.098000,0.047000,-0.096000,0,,,,,,,,,0,G1 V,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0,[M/H],4.30,0.07,-0.07,0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,0.0289000,-0.0289000,5.0335200,0.0230000,-0.0230000,3.7500000,0.3400000,-0.3400000,4.8783700,0.0038294,-0.0038294
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,0,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,13.500,,,0,1.200,,,0,521.22000,92.17000,-152.55000,0,1.64000,0.29000,-0.48000,0,Msini,0.160000,0.090000,-0.160000,0,,,,,,,,,0,G0V,5872.00,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,0.040,0.100,-0.100,0,[M/H],4.30,0.07,-0.07,0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,0.0289000,-0.0289000,5.0335200,0.0230000,-0.0230000,3.7500000,0.3400000,-0.3400000,4.8783700,0.0038294,-0.0038294
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,0,11688.00000000,6209.25000000,-3287.25000000,0,13.200000,0.200000,-0.200000,0,13.400,,,0,1.190,,,0,635.66000,,,0,2.00000,,,0,Mass,0.450000,0.100000,-0.150000,0,,,,,700,,,0,0,F0 IV,7295.00,120.09,-98.99,0,1.49,0.05,-0.06,0,1.75,0.05,-0.05,0,-0.027,0.045,-0.045,0,[M/H],4.31,0.09,-0.07,0,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000,0.1213000,-0.1203000,5.2114900,0.0230000,-0.0230000,4.5370000,0.0240000,-0.0240000,5.1580600,0.0023075,-0.0023075
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,14.300,,,0,1.270,,,0,146.20180,19.06980,-3.17830,0,0.46000,0.06000,-0.01000,0,Mass,0.013000,0.012000,-0.012000,0,,,,,,,,,0,G5V,5758.00,101.62,-119.62,0,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,0.180,0.100,-0.100,0,[M/H],4.31,0.08,-0.06,0,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000,0.0297000,-0.0297000,5.4530900,0.0230000,-0.0230000,3.9110000,0.0210000,-0.0210000,5.2864700,0.0027680,-0.0027680
