pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,13.900,,,0,1.240,,,0,263.97850,1.04880,-1.04880,0,0.83060,0.00330,-0.00330,0,Mass,0.000000,0.010000,-0.010000,0,,,,,700,,,0,0,K0 IV-V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,44.39890000,0.00420000,-0.00430000,0,0.237300,0.001300,-0.001300,0,8.510,,,0,0.760,,,0,54.47380,1.74800,-1.74800,0,0.17140,0.00550,-0.00550,0,Mass,0.030000,0.020000,-0.020000,0,,,,,,,,,0,G8V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,5574.20000000,93.80000000,-88.60000000,0,5.957000,0.074000,-0.071000,0,13.000,,,0,1.160,,,0,1232.49300,21.61200,-21.61200,0,3.87800,0.06800,-0.06800,0,Mass,0.130000,0.020000,-0.020000,0,,,,,,,,,0,G8 V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,1.875,0.029,-0.029,0,0.167,0.003,-0.003,0,7.99000,0.32000,-0.33000,0,0.02514,0.00101,-0.00104,0,Mass,0.050000,0.030000,-0.030000,0,2657.83,,,0,1958,15,-15,0,0,G8 V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,259.88000000,0.29000000,-0.29000000,0,0.770800,0.004300,-0.004400,0,7.590,,,0,0.677,,,0,44.81200,3.81400,-3.81400,0,0.14100,0.01200,-0.01200,0,Mass,0.080000,0.050000,-0.040000,0,,,,,,,,,0,G8V,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.02,-0.02,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,919.86000000,1.92000000,-3.71000000,0,2.028000,0.003000,-0.005000,0,13.400,,,0,1.200,,,0,597.83523,12.07748,-28.28673,0,1.88100,0.03800,-0.08900,0,Msini,0.042000,0.024000,-0.032000,0,,,,,,,,,0,K0 IV,4941.00,,,0,4.94,0.55,-0.50,0,1.32,0.20,-0.21,0,-0.170,0.110,-0.070,0,[Fe/H],3.16,0.08,-0.08,0,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599000,0.2734000,-0.2734000,5.8730700,0.0230000,-0.0230000,3.7010000,0.3000000,-0.3000000,5.6068600,0.0010850,-0.0010850
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,2.110,,,0,0.188,,,0,5.10000,0.50000,-0.50000,0,0.01600,0.00200,-0.00200,0,Msini,0.120000,0.110000,-0.110000,0,,,,,,,,,0,G5 V,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.010,,,0,[Fe/H],4.34,0.03,-0.03,0,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0173700,-0.0173000,4.6955000,0.0462000,-0.0462000,2.9560000,0.2360000,-0.2360000,4.5405200,0.0055701,-0.0055701
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,4.460,,,0,0.398,,,0,18.20000,1.10000,-1.10000,0,0.05700,0.00300,-0.00300,0,Msini,0.140000,0.060000,-0.060000,0,,,,,,,,,0,G5 V,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.010,,,0,[Fe/H],4.34,0.03,-0.03,0,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0173700,-0.0173000,4.6955000,0.0462000,-0.0462000,2.9560000,0.2360000,-0.2360000,4.5405200,0.0055701,-0.0055701
61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,5.110,,,0,0.456,,,0,22.90000,2.60000,-2.60000,0,0.07200,0.00800,-0.00800,0,Msini,0.350000,0.090000,-0.090000,0,,,,,,,,,0,G5 V,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.010,,,0,[Fe/H],4.34,0.03,-0.03,0,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0173700,-0.0173000,4.6955000,0.0462000,-0.0462000,2.9560000,0.2360000,-0.2360000,4.5405200,0.0055701,-0.0055701
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,0,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,13.400,,,0,1.200,,,0,587.98550,19.06980,-19.06980,0,1.85000,0.06000,-0.06000,0,Msin(i)/sin(i),0.060000,0.030000,-0.030000,0,,,,,,,,,0,K1 III,4826.00,45.00,-55.00,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,0.210,0.100,-0.100,0,[Fe/H],3.19,0.06,-0.07,0,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,0.1648000,-0.1648000,3.9500000,0.0300000,-0.0300000,1.5640000,0.2520000,-0.2520000,3.6785300,0.0041348,-0.0041348
7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,0,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,13.900,,,0,1.240,,,0,276.51210,19.06980,-19.06980,0,0.87000,0.06000,-0.06000,0,Msin(i)/sin(i),0.080000,0.050000,-0.040000,0,,,,,,,,,0,K1III(+M),4826.00,45.00,-55.00,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,0.210,0.100,-0.100,0,[Fe/H],3.19,0.06,-0.07,0,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,0.1648000,-0.1648000,3.9500000,0.0300000,-0.0300000,1.5640000,0.2520000,-0.2520000,3.6785300,0.0041348,-0.0041348
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,12.600,,,0,1.130,,,0,2380.45000,193.87000,-193.87000,0,7.49000,0.61000,-0.61000,0,Mass,0.398800,0.001900,-0.001900,0,,,,,,,,,0,G5V,5495.00,,,0,1.89,,,0,1.09,,,0,-0.090,0.030,-0.030,0,[Fe/H],3.95,,,0,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000,0.0560000,-0.0557000,4.9680800,0.0230000,-0.0230000,3.5000000,0.2940000,-0.2940000,4.7617800,0.0044158,-0.0044158
75 Cet b,75 Cet,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,0,696.62000000,1.33000000,-1.69000000,0,1.912000,0.002000,-0.003000,0,13.300,,,0,1.180,,,0,787.89662,23.51930,-28.60456,0,2.47900,0.07400,-0.09000,0,Msini,0.093000,0.026000,-0.042000,0,,,,,,,,,0,G3 III,4809.00,,,0,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,0.100,0.080,-0.050,0,[Fe/H],2.69,0.03,-0.04,0,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,0.7236500,-0.7236500,5.3532000,0.0230000,-0.0230000,3.2070000,0.2720000,-0.2720000,5.0934300,0.0039324,-0.0039324
75 Cet c,75 Cet,2,2,Radial Velocity,2023,Okayama Astrophysical Observatory,0,2051.62000000,45.98000000,-40.47000000,0,3.929000,0.058000,-0.052000,0,13.900,,,0,1.240,,,0,289.85951,27.96890,-45.44946,0,0.91200,0.08800,-0.14300,0,Msini,0.023000,0.191000,-0.003000,0,,,,,,,,,0,G3 III,4809.00,,,0,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,0.100,0.080,-0.050,0,[Fe/H],2.69,0.03,-0.04,0,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,0.7236500,-0.7236500,5.3532000,0.0230000,-0.0230000,3.2070000,0.2720000,-0.2720000,5.0934300,0.0039324,-0.0039324
8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,13.600,,,0,1.220,,,0,416.35730,50.85280,-50.85280,0,1.31000,0.16000,-0.16000,0,Msini,0.060000,0.090000,-0.090000,0,,,,,,,,,0,K0,4847.00,7.00,-7.00,0,10.30,0.57,-0.57,0,1.44,0.19,-0.19,0,-0.030,,,0,[Fe/H],2.57,0.03,-0.03,0,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.5520000,0.6510000,-0.6460000,6.8329500,0.0230000,-0.0230000,4.5150000,0.0200000,-0.0200000,6.5589600,0.0002370,-0.0002370
81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,1005.57000000,1.84000000,-1.94000000,0,2.104000,0.003000,-0.003000,0,13.100,,,0,1.170,,,0,1051.05854,24.79062,-21.29450,0,3.30700,0.07800,-0.06700,0,Msini,0.037000,0.015000,-0.025000,0,,,,,,,,,0,G5 III,4734.00,,,0,11.21,0.81,-0.35,0,1.23,0.30,-0.25,0,-0.110,0.100,-0.060,0,[Fe/H],2.41,0.07,-0.06,0,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.2600000,1.2220000,-1.2220000,5.6430700,0.0230000,-0.0230000,3.2660000,0.2580000,-0.2580000,5.3758800,0.0031065,-0.0031065
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,0,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,13.100,,,0,1.170,,,0,1017.00000,,,0,3.20000,,,0,Msini,0.027000,0.026000,-0.026000,0,,,,,,,,,0,K0 III,4665.00,18.00,-18.00,0,11.00,0.10,-0.10,0,1.40,0.10,-0.10,0,-0.030,0.100,-0.100,0,[Fe/H],2.52,0.05,-0.05,0,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304000,0.5132500,-0.5132500,4.2394600,0.0230000,-0.0230000,1.5970000,0.2360000,-0.2360000,3.9531100,0.0088430,-0.0088430
AB Aur b,AB Aur,1,1,Imaging,2022,Subaru Telescope,0,,,,,93.900000,49.300000,-49.300000,0,12.500,,,0,1.120,,,0,2860.45566,,,0,9.00000,,,0,Mass,0.400000,0.200000,-0.210000,0,,,,,,,,,0,,9770.00,100.00,-100.00,0,2.96,0.10,-0.07,0,2.40,0.20,-0.20,0,,,,,,3.77,0.09,-0.07,0,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.1270000,1.5260000,-1.4980000,7.0760000,0.0420000,-0.0420000,4.2300000,0.0160000,-0.0160000,7.0785400,0.0010490,-0.0010490
AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,0,,,,,260.000000,,,0,12.300,,,0,1.100,,,0,4290.50000,158.90000,-158.90000,0,13.50000,0.50000,-0.50000,0,Mass,,,,,,,,,,,,,0,K2 V,5285.00,10.00,-9.00,0,1.00,0.03,-0.02,0,0.90,0.10,-0.10,0,0.040,0.020,-0.020,0,[Fe/H],4.53,0.01,-0.01,0,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475000,0.0735000,-0.0733000,9.1300000,0.0300000,-0.0300000,6.9810000,0.0240000,-0.0240000,8.8378000,0.0013320,-0.0013320
AF Lep b,AF Lep,1,1,Imaging,2023,Paranal Observatory,0,8030.00000000,1800.00000000,-1800.00000000,0,8.400000,1.100000,-1.300000,0,13.100,,,0,1.170,,,0,1017.05090,222.47988,-190.69704,0,3.20000,0.70000,-0.60000,0,Mass,0.240000,0.270000,-0.150000,0,,,,,1400,300,-300,0,0,F8 V,6130.00,60.00,-60.00,0,1.25,0.06,-0.06,0,1.20,0.06,-0.06,0,0.190,0.020,-0.020,0,[Fe/H],4.40,,,0,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,0.0189000,-0.0188000,6.3320000,0.0350000,-0.0350000,4.9260000,0.0210000,-0.0210000,6.1864400,0.0011395,-0.0011395
AU Mic b,AU Mic,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46299910,,,0,0.064500,0.001300,-0.001300,0,3.957,0.146,-0.146,0,0.353,0.013,-0.013,0,20.12000,1.57000,-1.72000,0,0.06330,0.00494,-0.00541,0,Mass,0.186000,0.036000,-0.035000,0,21.20,2.50,-2.40,0,600,17,-16,0,1,M1,3665.00,31.00,-31.00,0,0.82,0.02,-0.02,0,0.50,0.03,-0.03,0,0.120,0.100,-0.100,0,[M/H],4.40,0.03,-0.03,0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310
AU Mic c,AU Mic,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.85899100,,,0,0.110100,0.002000,-0.002000,0,3.240,0.160,-0.160,0,0.289,0.014,-0.014,0,9.60000,2.07000,-2.31000,0,0.03020,0.00651,-0.00727,0,Mass,0.003380,0.001640,-0.001640,0,7.30,0.90,-0.80,0,459,13,-12,0,0,M1,3665.00,31.00,-31.00,0,0.82,0.02,-0.02,0,0.50,0.03,-0.03,0,0.120,0.100,-0.100,0,[M/H],4.40,0.03,-0.03,0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310
AU Mic d,AU Mic,1,3,Transit Timing Variations,2023,Multiple Observatories,0,12.73596000,0.00793000,-0.00793000,0,,,,,1.020,,,0,0.091,,,0,1.05300,0.51100,-0.51100,0,0.00331,0.00161,-0.00161,0,Mass,0.003050,0.001040,-0.001040,0,,,,,,,,,0,M1,3678.00,90.00,-88.00,0,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,0.230,0.240,-0.300,0,[Fe/H],4.40,0.03,-0.03,0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,0,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,12.700,,,0,1.130,,,0,2034.11200,413.17900,-413.17900,0,6.40000,1.30000,-1.30000,0,Msini,0.200000,0.120000,-0.080000,0,,,,,,,,,0,,4095.00,20.00,-20.00,0,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0,-0.710,0.090,-0.090,0,[Fe/H],1.89,0.10,-0.10,0,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.6300000,63.8750000,-63.8750000,9.5770000,0.0080000,-0.0080000,6.0210000,0.0210000,-0.0210000,8.9977000,0.0002920,-0.0002920
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,0,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,13.800,,,0,1.230,,,0,330.54320,149.38010,-149.38010,0,1.04000,0.47000,-0.47000,0,Msini,0.290000,0.030000,-0.030000,0,,,,,,,,,0,K2 V,4864.00,101.00,-101.00,0,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0,0.170,,,0,[Fe/H],4.26,0.29,-0.29,0,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.3520000,0.0846000,-0.0844000,9.7800000,0.0300000,-0.0300000,7.3360000,0.0230000,-0.0230000,9.3510800,0.0002530,-0.0002530
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,0,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,13.800,,,0,1.230,,,0,337.21763,85.81410,-85.81410,0,1.06100,0.27000,-0.27000,0,Msini,0.001000,0.250000,-0.001000,0,,,,,,,,,0,G5,4649.00,30.00,-30.00,0,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0,-0.220,0.080,-0.080,0,[Fe/H],2.61,0.12,-0.12,0,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.0450000,45.0380000,-45.0380000,10.4100000,0.0100000,-0.0100000,7.7180000,0.0170000,-0.0170000,9.9918000,0.0004580,-0.0004580
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,0,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,13.700,,,0,1.230,,,0,352.78000,,,0,1.11000,,,0,Msini,0.260000,0.100000,-0.100000,0,,,,,,,,,0,K0,4796.00,117.00,-117.00,0,14.70,2.80,-2.80,0,1.10,0.20,-0.20,0,0.280,0.070,-0.070,0,[Fe/H],2.80,0.45,-0.45,0,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,426.4200000,6.4400000,-6.4400000,9.0100000,0.0300000,-0.0300000,6.5250000,0.0160000,-0.0160000,8.7178000,0.0002910,-0.0002910
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,379.63000000,2.01000000,-2.01000000,0,1.450000,,,0,12.100,,,0,1.080,,,0,6807.63000,,,0,21.42000,,,0,Msini,0.150000,0.030000,-0.030000,0,,,,,,,,,0,K2 II,4137.00,10.00,-10.00,0,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0,-1.000,0.070,-0.070,0,[Fe/H],1.51,0.05,-0.05,0,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,189.9250000,-189.9250000,9.7430000,0.0080000,-0.0080000,6.4200000,0.0210000,-0.0210000,9.2268400,0.0004420,-0.0004420
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,12.400,,,0,1.100,,,0,3963.17000,,,0,12.47000,,,0,Msini,0.180000,0.060000,-0.060000,0,,,,,,,,,0,K2 II,4137.00,10.00,-10.00,0,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0,-1.000,0.070,-0.070,0,[Fe/H],1.51,0.05,-0.05,0,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,189.9250000,-189.9250000,9.7430000,0.0080000,-0.0080000,6.4200000,0.0210000,-0.0210000,9.2268400,0.0004420,-0.0004420
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,0,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,13.000,,,0,1.160,,,0,1334.88600,,,0,4.20000,,,0,Msini,0.210000,0.060000,-0.060000,0,,,,,,,,,0,K5 III,4296.00,10.00,-10.00,0,17.30,0.90,-0.90,0,0.80,0.20,-0.20,0,-0.460,0.070,-0.070,0,[Fe/H],1.99,0.05,-0.05,0,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.5100000,80.5350000,-80.5350000,9.3670000,0.0080000,-0.0080000,6.1690000,0.0270000,-0.0270000,8.9161300,0.0004680,-0.0004680
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,41.68550000,0.00300000,-0.00300000,0,0.241000,0.019000,-0.017000,0,2.578,0.112,-0.112,0,0.230,0.010,-0.010,0,22.24810,9.53490,-9.53490,0,0.07000,0.03000,-0.03000,0,Mass,0.000000,,,0,,,,,546,19,-18,0,0,G,5766.00,99.00,-99.00,0,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0,-0.150,,,0,[Fe/H],4.50,0.08,-0.08,0,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000,1.2570000,-1.2400000,10.8490000,0.0120000,-0.0120000,9.3680000,0.0180000,-0.0180000,10.8644000,0.0002490,-0.0002490
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,307.88000000,1.47000000,-1.47000000,0,0.830000,0.040000,-0.040000,0,13.600,,,0,1.210,,,0,432.24663,38.13941,-38.13941,0,1.36000,0.12000,-0.12000,0,Msini,0.120000,0.060000,-0.060000,0,,,,,,,,,0,K1,5004.00,50.00,-50.00,0,0.81,0.04,-0.04,0,0.81,0.07,-0.07,0,-0.090,0.030,-0.030,0,[Fe/H],4.22,0.13,-0.13,0,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.6220000,0.1919000,-0.1905000,9.6700000,0.0300000,-0.0300000,7.5570000,0.0240000,-0.0240000,9.4126600,0.0002550,-0.0002550
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,0,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,13.900,,,0,1.240,,,0,289.22530,,,0,0.91000,,,0,Msini,0.200000,0.100000,-0.100000,0,,,,,,,,,0,K0 III,4414.00,15.00,-15.00,0,11.00,1.00,-1.00,0,0.74,0.39,-0.39,0,-0.200,0.070,-0.070,0,[Fe/H],2.24,0.06,-0.06,0,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.4930000,43.8490000,-43.8490000,9.1390000,0.0040000,-0.0040000,5.9040000,0.0180000,-0.0180000,8.6556900,0.0003650,-0.0003650
